№,Модель,Язык,Precision@3,MRR,Вопросов
1,MiniLM,Русский,0.8,0.5444,15
2,MiniLM,English,0.9,0.5833,10
3,mpnet,Русский,0.9333,0.5889,15
4,mpnet,English,0.9,0.7,10
5,e5-small,Русский,0.9333,0.7889,15
6,e5-small,English,1.0,0.75,10
